外租單位,錶號,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,平均
洗衣部,數位式,379,264,313,338,320,329,362,398,347,329,302,286,"3,967",331
理髮部,數位式,934,710,824,939,861,"1,206","1,325","1,552","1,416","1,402","1,199",929,"13,297","1,108"
美髮部,數位式,966,875,820,983,866,"1,135","1,272","1,440","1,307","1,235","1,097",971,"12,967","1,081"
眼鏡部,數位式,"1,110",794,821,"1,010","1,193","1,636","1,694","2,098","1,820","1,714","1,676","1,472","17,038","1,420"
華通書坊2F咖啡店-燈插,數位式,119,33,33,35,878,"3,363","4,664","5,104","4,877","5,839","2,657",875,"28,477","2,373"
華通書坊2F咖啡店-空調,數位式,"1,851","1,295","1,730","2,162","1,792","1,757","1,509","1,583","1,412","1,990","1,996","2,012","21,089","1,757"
第一招待所,數位式,582,588,579,678,512,691,811,990,881,810,687,561,"8,370",698
閱覽交誼廳,數位式,680,218,217,351,426,"1,141","1,335",185,0,6,0,352,"4,911",409
社團(生輔組),數位式,713,549,551,632,494,872,"1,053",272,0,"1,586",881,417,"8,016",668
1F十三舍7-11,數位式,"15,678","9,815","12,061","15,423","13,405","17,437","16,382","5,607","21,499","24,898","16,638","16,575","185,418","15,452"
1F郵局P,數位式,139,86,78,87,202,537,954,"1,331","1,320","1,213",540,274,"6,761",563
1F郵局L,數位式,"2,021","1,757","1,834","2,115","1,708","1,958","1,860","2,193","1,885","1,855","1,894","1,908","22,988","1,916"
1F女二舍全家,數位式,"15,070","10,202","12,066","15,565","13,908","15,796","17,448","19,270","16,529","16,230","16,832","16,072","184,988","15,416"
1F上品行,數位式,"6,354","4,248","4,511","5,805","5,664","6,693","6,621","6,867","6,334","7,234","5,876","5,629","71,836","5,986"
女二舍1F自助餐,數位式,"21,623","15,611","16,327","20,770","20,617","25,828","30,707","34,815","28,570","29,627","24,691","21,343","290,529","24,211"
女二舍2F中餐廳,數位式,"11,647","7,145","7,282","8,894","9,135","11,909","12,508","13,882","11,226","12,763","3,331","16,048","125,770","10,481"
第二招待所,數位式,"1,396",989,"1,120","1,348","1,011","1,650","3,067","3,754","2,652",152,"3,707","1,529","22,375","1,865"
1F麥當勞,數位式,"23,867","17,271","18,740","24,178","23,704","28,374","32,078","34,856","27,065","29,404","28,829","26,785","315,151","26,263"
空大P,數位式,"3,225","2,570","2,093","2,675","2,522","3,645","4,294","6,606","4,443","5,102","4,525","3,715","45,415","3,785"
空大L,數位式,"3,381","2,595","2,321","2,999","2,528","2,813","2,576","2,956","2,482","2,617","3,238","5,368","35,874","2,990"
理髮部(博愛),數位式,0,0,0,0,0,0,0,0,0,0,0,0,0,0
逸軒(外貿),數位式,"5,197","4,551","4,291","5,542","3,806","5,020","4,488","1,869","2,360","1,012","1,670","1,196","41,002","3,417"
安親班,數位式,"1,005",614,594,"1,016",907,"1,179","1,456","1,114","1,235","2,184",0,"2,244","13,548","1,129"
學生交誼(十舍),數位式,587,499,434,579,551,694,660,522,486,727,524,572,"6,835",570
圖資咖啡,數位式,"1,942","1,241","1,509","1,828","1,735","1,967","1,993","2,538","2,026","2,136","2,269","2,234","23,418","1,952"
餐亭(資訊館),數位式,"5,349","4,032","4,236","5,301","4,999","6,164","5,757","7,368","5,968","6,351","6,147","5,397","67,069","5,589"
餐亭(綜合一館),數位式,"4,907","3,216","3,501","4,754","4,913","5,543","4,764","4,888","3,914","5,391","5,484","5,005","56,280","4,690"
藝文中心,數位式,2,2,6,5,4,12,19,22,19,21,8,2,122,10
小計,,"130,724","91,770","98,892","126,012","118,661","149,349","161,657","164,080","152,073","163,828","136,698","139,771","1,633,511","136,126"