宿舍單位,二舍,三舍,四舍,五舍,六舍,七舍,八舍,九舍,十舍,十一舍,十二舍,十三舍,研一舍,研二舍,竹軒,女二舍,小計
錶號,數位錶,數位錶,數位錶,數位錶,數位錶,數位錶,數位錶,數位錶,計算,數位錶,數位錶,計算,計算,計算,數位錶,計算,
一月,"6,149","4,525","6,004","8,471","19,175","24,761","35,163","36,225","37,363","11,528","51,938","71,034","15,132","39,337","18,989","99,359","485,153"
二月,"4,532","3,621","5,227","6,439","14,765","17,074","32,479","26,232","25,932","9,562","37,493","66,771","13,181","31,969","12,993","66,326","374,596"
三月,"4,430","3,656","5,371","6,491","14,156","18,275","33,694","26,010","26,243","10,080","34,473","62,653","14,478","34,488","13,695","71,798","379,991"
四月,"5,924","5,079","6,332","8,975","20,112","28,933","39,558","35,776","37,799","12,712","59,106","75,565","16,723","40,790","19,443","97,574","510,401"
五月,"4,899","4,491","4,290","7,926","20,518","20,205","58,314","43,337","42,776","10,811","60,767","60,730","13,308","36,502","21,125","85,747","495,745"
六月,"6,303","6,855","4,893","11,968","29,518","26,163","50,082","62,964","61,090","13,141","81,903","73,587","16,394","52,620","32,324","124,312","654,117"
七月,"8,701","8,991","5,402","14,802","39,081","25,557","36,514","64,298","48,014","11,710","59,851","63,874","15,482","58,854","25,447","114,805","601,383"
八月,"7,718","6,989","3,883","11,626","35,648","26,787","48,596","71,014","29,523","12,559","31,880","77,455","17,607","76,092","15,752","121,094","594,222"
九月,"9,397","9,577","4,895","15,055","50,531","17,177","12,662","59,820","19,440","10,654","21,146","47,265","15,003","62,600","10,370","97,030","462,622"
十月,"8,264","9,031","2,779","12,617","38,122","20,365","28,602","69,371","54,942","11,815","73,481","56,629","14,939","61,487","34,554","134,858","631,855"
十一月,"27,535","8,647","4,689","11,948","33,214","23,929","32,880","55,806","44,852","12,087","68,529","70,482","15,646","45,324","26,533","118,424","600,524"
十二月,"5,551","5,056","4,302","7,298","19,830","23,050","32,400","44,035","37,801","11,361","55,975","67,902","14,607","36,393","21,431","96,162","483,154"
合計,"99,403","76,518","58,065","123,616","334,670","272,276","440,944","594,888","465,775","138,020","636,542","793,943","182,500","576,456","252,656","1,227,489","6,273,761"
平均,"8,284","6,377","4,839","10,301","27,889","22,690","36,745","49,574","38,815","11,502","53,045","66,162","15,208","48,038","21,055","102,291","522,813"