教學單位,人社一館,人社二館,工程一館,工程二館,工程三館,工程四館,工程五館,工程六館,科學一館,科學二館,管理一館,管理二館,綜合一館,土木結構,材料實驗室,機械系(P),機械系(L),防災中心,教學大樓,交映樓,環保大樓,田家炳大樓,博愛奈米中心,實驗一館,實驗二館,竹銘館,生科一館,生科二館,基礎大樓,小計
錶號,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,計算,計算,數位式,數位式,數位式,數位式,數位式,數位式,數位式,計算,數位式,計算,計算,數位式,計算,計算,,
一月,"21,832","19,979","15,445","27,477","155,038","290,296","218,950","168,498","41,789","139,303","24,558","45,414","40,595","20,241","5,985",82,648,"5,558","67,449","51,878","46,273","300,687","52,153","35,201","9,073","58,359","94,450","35,739","277,586","1,782,570"
二月,"16,496","15,625","11,071","22,615","124,912","228,265","159,914","124,497","32,531","116,081","18,045","34,465","32,747","31,931","4,316",33,351,"4,360","57,508","40,354","37,271","239,743","25,033","28,958","7,571","47,280","94,609","30,041","216,265","1,398,197"
三月,"16,998","15,791","11,113","22,192","119,748","214,750","145,392","128,082","33,567","118,776","17,145","32,432","35,707","18,978","4,282",8,329,"4,555","63,544","37,870","34,339","234,504","34,709","26,534","7,025","45,143","59,106","28,367","203,890","1,361,372"
四月,"21,115","20,228","13,518","27,349","154,368","274,849","197,522","163,310","41,579","149,403","22,386","44,184","45,760","23,903","4,633",55,490,"5,877","45,273","49,847","44,114","303,026","54,663","38,144","10,669","54,563","126,628","37,637","275,930","1,735,150"
五月,"22,709","19,329","13,924","28,872","152,284","268,174","222,456","163,606","43,484","140,707","23,619","46,481","43,596","21,352","7,754",1,460,"5,938","45,433","48,188","40,636","293,510","45,214","32,622","7,610","47,681","98,994","28,240","285,837","1,715,250"
六月,"32,657","25,063","18,866","38,389","196,626","335,527","304,772","209,433","60,778","186,947","31,251","62,012","54,736","30,889","11,139",29,576,"7,323","64,478","60,129","63,666","383,432","56,111","39,376","9,942","62,337","114,912","38,220","354,805","2,251,490"
七月,"32,923","25,653","18,879","42,286","205,156","337,573","313,836","216,471","63,773","169,337","29,843","67,843","51,153","33,531","11,486",0,0,"8,116","79,058","62,346","67,926","365,496","72,678","48,228","12,150","78,651","132,982","54,679","318,676","2,302,818"
八月,"27,624","28,375","24,187","46,357","259,682","415,220","393,201","272,086","71,123","195,547","30,626","79,083","56,693","44,550","10,595",0,0,"12,142","70,377","83,639","80,993","447,338","65,847","45,613","11,398","74,245","122,772","33,530","345,614","2,744,672"
九月,"24,813","22,629","21,985","38,671","211,728","333,148","334,025","231,859","60,744","172,407","23,571","65,135","46,614","33,408","10,487",0,0,"9,144","83,232","65,064","68,900","388,926","83,203","51,291","12,269","86,402","131,084","52,555","301,065","2,368,440"
十月,"29,835","25,909","21,407","41,189","195,592","336,907","320,059","230,966","64,274","157,061","31,081","66,963","55,739","31,331","10,569",0,0,"8,489","57,006","64,714","66,961","370,002","58,269","36,376","9,235","66,205","104,140","27,195","299,141","2,260,099"
十一月,"24,794","22,407","17,533","36,444","196,648","317,765","290,540","210,342","53,500","157,677","28,334","60,262","51,704","27,055","10,357",0,0,"7,197","69,892","58,248","60,783","352,132","65,944","22,597","10,921","69,511","114,737","40,889","312,946","2,128,282"
十二月,"18,717","17,964","13,251","30,750","170,112","276,197","222,213","176,850","43,198","133,186","25,321","48,767","41,998","26,697","9,037",0,0,"5,953","56,145","50,598","54,747","315,088","56,558","32,718","8,432","49,150","91,566","33,563","281,473","1,815,780"
合計,"290,513","258,952","201,179","402,591","2,141,894","3,628,671","3,122,880","2,296,000","610,340","1,836,432","305,780","653,041","557,042","343,866","100,640",208,"2,854","84,652","759,395","672,875","666,609","3,993,884","670,382","437,659","116,295","739,527","1,285,980","440,655","3,473,228","23,864,122"
平均,"24,209","21,579","16,765","33,549","178,491","302,389","260,240","191,333","50,862","153,036","25,482","54,420","46,420","28,656","8,387",17,238,"7,054","63,283","56,073","55,551","332,824","55,865","36,472","9,691","61,627","107,165","36,721","289,436","1,988,677"